Jogos,Media,Nome,Preco,Ultima_rodada
2,10.5,Cícero,14.2,19.4
2,7.0,Matheus Savio,8.94,13.0
2,8.55,Elias,13.83,13.2
2,6.3,Márcio Araújo,8.23,10.5
2,6.65,João Paulo,10.08,12.5
2,6.1,Edinho,9.17,9.8
1,8.2,Romulo,6.45,8.2
2,6.95,Hudson,12.3,6.2
2,3.3,Matheus Barbosa,4.51,4.8
2,3.6,Lucas Mineiro,6.46,6.3
2,4.05,Bruno Silva,7.99,5.4
2,3.05,Elton,5.98,5.2
2,2.3,Yan Sasse,4.33,3.7
2,4.6,Carlos Sánchez,12.42,9.5
2,2.5,Régis,4.25,2.0
2,1.9,Léo Sena,3.8,2.0
1,2.9,Tharlis,3.43,2.9
2,1.9,Giovanni Augusto,4.8,3.4
2,2.1,Paulo Roberto,5.19,3.2
2,1.45,José Welison,3.77,2.9
2,1.95,João Paulo,4.77,2.3
2,5.3,Gregore,12.26,3.2
2,0.95,Pedro Castro,2.73,2.2
2,2.1,Matheus Henrique,5.09,2.1
2,3.05,Madson,7.41,2.6
2,1.7,Geovane,3.59,0.3
2,1.85,Bruno Ramires,4.18,0.7
1,2.0,Rodriguinho,4.86,0.0
1,1.0,Mosquera,3.47,0.0
1,2.9,Rodrigo Lindoso,6.87,0.0
0,0.0,Léo Cittadini,5.0,0.0
0,0.0,Erick,1.0,0.0
1,1.5,Henrique,7.98,0.0
0,0.0,Ronaldo,4.0,0.0
0,0.0,Piris da Motta,5.0,0.0
1,0.0,Renatinho,3.47,0.0
1,5.4,Felipe,6.52,0.0
2,7.3,Ramiro,15.5,0.2
2,2.0,Didira,5.43,2.1
2,2.55,Fabinho,6.11,1.2
2,2.1,Auremir,4.43,-0.3
2,3.7,Gustavo Bochecha,7.94,-0.2
2,0.55,Gustavo Campanharo,2.16,0.6
1,4.7,Patrick,8.55,4.7
1,1.2,Nathan,3.41,1.2
2,1.05,Caio Henrique,4.6,1.6
1,1.7,Andrey,4.35,1.7
1,4.2,Robinho,8.33,4.2
2,5.25,Ramires,13.54,0.8
2,1.25,Tomás Andrade,5.24,0.7
2,0.1,Tchê Tchê,2.63,0.1
1,-0.2,Naldo,2.08,-0.2
2,0.85,Soteldo,4.72,0.4
2,0.0,Ricardinho,3.12,-0.3
2,2.75,Everton,9.62,0.7
2,0.4,Airton,4.58,0.2
1,3.6,Edenílson,9.52,3.6
2,0.8,Diego,6.93,2.4
2,-0.5,Allan,1.97,-2.1
2,-0.25,Lucas Silva,3.62,0.0
2,-1.25,Wellington,1.21,-1.9
2,1.7,Yago Pikachu,9.22,1.4
2,1.9,Jean Mota,9.03,0.0
2,-1.65,Diego Pituca,1.26,-1.0
1,-1.5,Michel,3.69,-1.5
